date,event_type,sender,receiver,detail
2021-01-05,friend_request,DrawdownBuyerAgent,MeanReversionAgent,DrawdownBuyerAgent 向 MeanReversionAgent 发起好友申请：寻求均值回归与回撤策略的互补信号，共同识别超跌机会。
2021-01-05,friend_accept,MeanReversionAgent,DrawdownBuyerAgent,MeanReversionAgent 通过了 DrawdownBuyerAgent 的好友申请：策略互补，可共同识别超跌机会，增强信号可靠性。
2021-01-05,friend_request,RandomAgent,TruthfulReporterAgent,RandomAgent 向 TruthfulReporterAgent 发起好友申请：请求601899基本面数据验证量能异动，互补随机信号
2021-01-05,friend_accept,TruthfulReporterAgent,RandomAgent,TruthfulReporterAgent 通过了 RandomAgent 的好友申请：提供基本面数据验证量能异动，与随机信号互补，增强市场透明度。
2021-01-05,friend_request,TruthfulReporterAgent,PersuaderAgent,TruthfulReporterAgent 向 PersuaderAgent 发起好友申请：寻求验证601899放量的真实驱动因素，互惠互利。
2021-01-05,friend_accept,PersuaderAgent,TruthfulReporterAgent,PersuaderAgent 通过了 TruthfulReporterAgent 的好友申请：TruthfulReporterAgent寻求验证601899放量驱动，互惠互利，可增强信息透明度。
2021-01-05,friend_request,FreeRiderAgent,TruthfulReporterAgent,FreeRiderAgent 向 TruthfulReporterAgent 发起好友申请：私聊触达非好友，申请建立连接以验证信息价值。
2021-01-05,friend_reject,TruthfulReporterAgent,FreeRiderAgent,TruthfulReporterAgent 拒绝了 FreeRiderAgent 的好友申请：FreeRiderAgent单向索取信息，未提供价值交换，风险较高。
2021-01-05,friend_request,CommitteeTeamAgent,ContrarianAgent,CommitteeTeamAgent 向 ContrarianAgent 发起好友申请：对601899量能看法不同，希望交叉验证风险
2021-01-05,friend_accept,ContrarianAgent,CommitteeTeamAgent,ContrarianAgent 通过了 CommitteeTeamAgent 的好友申请：看法不同可互补信息，交叉验证风险，有助于提升判断准确度。
2021-01-05,friend_request,DynamicTeamAgent,PersuaderAgent,DynamicTeamAgent 向 PersuaderAgent 发起好友申请：私聊触达非好友，申请建立连接以验证信息价值。
2021-01-05,friend_accept,PersuaderAgent,DynamicTeamAgent,PersuaderAgent 通过了 DynamicTeamAgent 的好友申请：不同持仓方向可互补信息，交叉验证有助于提升判断。建议建立连接。
2021-01-05,friend_request,DynamicTeamAgent,TruthfulReporterAgent,DynamicTeamAgent 向 TruthfulReporterAgent 发起好友申请：寻求真实基本面数据验证新能源持仓逻辑
2021-01-05,friend_accept,TruthfulReporterAgent,DynamicTeamAgent,TruthfulReporterAgent 通过了 DynamicTeamAgent 的好友申请：对方有明确持仓逻辑，可建立信息互助关系。
