date,method,agent,value
2022-05-02,pagerank,MomentumAgent,0.04992867679919748
2022-05-02,pagerank,MeanReversionAgent,0.04993166357002923
2022-05-02,pagerank,LowVolatilityAgent,0.05003400235112651
2022-05-02,pagerank,DrawdownBuyerAgent,0.04992867679919748
2022-05-02,pagerank,RandomAgent,0.04993166357002923
2022-05-02,pagerank,CommitteeTeamAgent,0.17819060347356747
2022-05-02,pagerank,DynamicTeamAgent,0.1777090401340045
2022-05-02,pagerank,TruthfulReporterAgent,0.05412753434087156
2022-05-02,pagerank,PersuaderAgent,0.05412753434087156
2022-05-02,pagerank,FreeRiderAgent,0.05412753434087156
2022-05-02,pagerank,ContrarianAgent,0.05412753434087156
2022-05-02,pagerank,SocialGraphAgent,0.17783553593936166
2022-05-09,pagerank,MomentumAgent,0.04992867679919748
2022-05-09,pagerank,MeanReversionAgent,0.04993166357002923
2022-05-09,pagerank,LowVolatilityAgent,0.05003400235112651
2022-05-09,pagerank,DrawdownBuyerAgent,0.04992867679919748
2022-05-09,pagerank,RandomAgent,0.04993166357002923
2022-05-09,pagerank,CommitteeTeamAgent,0.17819060347356747
2022-05-09,pagerank,DynamicTeamAgent,0.1777090401340045
2022-05-09,pagerank,TruthfulReporterAgent,0.05412753434087156
2022-05-09,pagerank,PersuaderAgent,0.05412753434087156
2022-05-09,pagerank,FreeRiderAgent,0.05412753434087156
2022-05-09,pagerank,ContrarianAgent,0.05412753434087156
2022-05-09,pagerank,SocialGraphAgent,0.17783553593936166
2022-05-16,pagerank,MomentumAgent,0.04992867679919748
2022-05-16,pagerank,MeanReversionAgent,0.04993166357002923
2022-05-16,pagerank,LowVolatilityAgent,0.05003400235112651
2022-05-16,pagerank,DrawdownBuyerAgent,0.04992867679919748
2022-05-16,pagerank,RandomAgent,0.04993166357002923
2022-05-16,pagerank,CommitteeTeamAgent,0.17819060347356747
2022-05-16,pagerank,DynamicTeamAgent,0.1777090401340045
2022-05-16,pagerank,TruthfulReporterAgent,0.05412753434087156
2022-05-16,pagerank,PersuaderAgent,0.05412753434087156
2022-05-16,pagerank,FreeRiderAgent,0.05412753434087156
2022-05-16,pagerank,ContrarianAgent,0.05412753434087156
2022-05-16,pagerank,SocialGraphAgent,0.17783553593936166
2022-05-23,pagerank,MomentumAgent,0.04992867679919748
2022-05-23,pagerank,MeanReversionAgent,0.04993166357002923
2022-05-23,pagerank,LowVolatilityAgent,0.05003400235112651
2022-05-23,pagerank,DrawdownBuyerAgent,0.04992867679919748
2022-05-23,pagerank,RandomAgent,0.04993166357002923
2022-05-23,pagerank,CommitteeTeamAgent,0.17819060347356747
2022-05-23,pagerank,DynamicTeamAgent,0.1777090401340045
2022-05-23,pagerank,TruthfulReporterAgent,0.05412753434087156
2022-05-23,pagerank,PersuaderAgent,0.05412753434087156
2022-05-23,pagerank,FreeRiderAgent,0.05412753434087156
2022-05-23,pagerank,ContrarianAgent,0.05412753434087156
2022-05-23,pagerank,SocialGraphAgent,0.17783553593936166
2022-05-30,pagerank,MomentumAgent,0.04992867679919748
2022-05-30,pagerank,MeanReversionAgent,0.04993166357002923
2022-05-30,pagerank,LowVolatilityAgent,0.05003400235112651
2022-05-30,pagerank,DrawdownBuyerAgent,0.04992867679919748
2022-05-30,pagerank,RandomAgent,0.04993166357002923
2022-05-30,pagerank,CommitteeTeamAgent,0.17819060347356747
2022-05-30,pagerank,DynamicTeamAgent,0.1777090401340045
2022-05-30,pagerank,TruthfulReporterAgent,0.05412753434087156
2022-05-30,pagerank,PersuaderAgent,0.05412753434087156
2022-05-30,pagerank,FreeRiderAgent,0.05412753434087156
2022-05-30,pagerank,ContrarianAgent,0.05412753434087156
2022-05-30,pagerank,SocialGraphAgent,0.17783553593936166
2022-06-06,pagerank,MomentumAgent,0.04992867679919748
2022-06-06,pagerank,MeanReversionAgent,0.04993166357002923
2022-06-06,pagerank,LowVolatilityAgent,0.05003400235112651
2022-06-06,pagerank,DrawdownBuyerAgent,0.04992867679919748
2022-06-06,pagerank,RandomAgent,0.04993166357002923
2022-06-06,pagerank,CommitteeTeamAgent,0.17819060347356747
2022-06-06,pagerank,DynamicTeamAgent,0.1777090401340045
2022-06-06,pagerank,TruthfulReporterAgent,0.05412753434087156
2022-06-06,pagerank,PersuaderAgent,0.05412753434087156
2022-06-06,pagerank,FreeRiderAgent,0.05412753434087156
2022-06-06,pagerank,ContrarianAgent,0.05412753434087156
2022-06-06,pagerank,SocialGraphAgent,0.17783553593936166
2022-06-13,pagerank,MomentumAgent,0.04992867679919748
2022-06-13,pagerank,MeanReversionAgent,0.04993166357002923
2022-06-13,pagerank,LowVolatilityAgent,0.05003400235112651
2022-06-13,pagerank,DrawdownBuyerAgent,0.04992867679919748
2022-06-13,pagerank,RandomAgent,0.04993166357002923
2022-06-13,pagerank,CommitteeTeamAgent,0.17819060347356747
2022-06-13,pagerank,DynamicTeamAgent,0.1777090401340045
2022-06-13,pagerank,TruthfulReporterAgent,0.05412753434087156
2022-06-13,pagerank,PersuaderAgent,0.05412753434087156
2022-06-13,pagerank,FreeRiderAgent,0.05412753434087156
2022-06-13,pagerank,ContrarianAgent,0.05412753434087156
2022-06-13,pagerank,SocialGraphAgent,0.17783553593936166
2022-06-20,pagerank,MomentumAgent,0.04992867679919748
2022-06-20,pagerank,MeanReversionAgent,0.04993166357002923
2022-06-20,pagerank,LowVolatilityAgent,0.05003400235112651
2022-06-20,pagerank,DrawdownBuyerAgent,0.04992867679919748
2022-06-20,pagerank,RandomAgent,0.04993166357002923
2022-06-20,pagerank,CommitteeTeamAgent,0.17819060347356747
2022-06-20,pagerank,DynamicTeamAgent,0.1777090401340045
2022-06-20,pagerank,TruthfulReporterAgent,0.05412753434087156
2022-06-20,pagerank,PersuaderAgent,0.05412753434087156
2022-06-20,pagerank,FreeRiderAgent,0.05412753434087156
2022-06-20,pagerank,ContrarianAgent,0.05412753434087156
2022-06-20,pagerank,SocialGraphAgent,0.17783553593936166
2022-06-27,pagerank,MomentumAgent,0.04992867679919748
2022-06-27,pagerank,MeanReversionAgent,0.04993166357002923
2022-06-27,pagerank,LowVolatilityAgent,0.05003400235112651
2022-06-27,pagerank,DrawdownBuyerAgent,0.04992867679919748
2022-06-27,pagerank,RandomAgent,0.04993166357002923
2022-06-27,pagerank,CommitteeTeamAgent,0.17819060347356747
2022-06-27,pagerank,DynamicTeamAgent,0.1777090401340045
2022-06-27,pagerank,TruthfulReporterAgent,0.05412753434087156
2022-06-27,pagerank,PersuaderAgent,0.05412753434087156
2022-06-27,pagerank,FreeRiderAgent,0.05412753434087156
2022-06-27,pagerank,ContrarianAgent,0.05412753434087156
2022-06-27,pagerank,SocialGraphAgent,0.17783553593936166
2022-07-04,pagerank,MomentumAgent,0.04992867679919748
2022-07-04,pagerank,MeanReversionAgent,0.04993166357002923
2022-07-04,pagerank,LowVolatilityAgent,0.05003400235112651
2022-07-04,pagerank,DrawdownBuyerAgent,0.04992867679919748
2022-07-04,pagerank,RandomAgent,0.04993166357002923
2022-07-04,pagerank,CommitteeTeamAgent,0.17819060347356747
2022-07-04,pagerank,DynamicTeamAgent,0.1777090401340045
2022-07-04,pagerank,TruthfulReporterAgent,0.05412753434087156
2022-07-04,pagerank,PersuaderAgent,0.05412753434087156
2022-07-04,pagerank,FreeRiderAgent,0.05412753434087156
2022-07-04,pagerank,ContrarianAgent,0.05412753434087156
2022-07-04,pagerank,SocialGraphAgent,0.17783553593936166
2022-07-11,pagerank,MomentumAgent,0.04992867679919748
2022-07-11,pagerank,MeanReversionAgent,0.04993166357002923
2022-07-11,pagerank,LowVolatilityAgent,0.05003400235112651
2022-07-11,pagerank,DrawdownBuyerAgent,0.04992867679919748
2022-07-11,pagerank,RandomAgent,0.04993166357002923
2022-07-11,pagerank,CommitteeTeamAgent,0.17819060347356747
2022-07-11,pagerank,DynamicTeamAgent,0.1777090401340045
2022-07-11,pagerank,TruthfulReporterAgent,0.05412753434087156
2022-07-11,pagerank,PersuaderAgent,0.05412753434087156
2022-07-11,pagerank,FreeRiderAgent,0.05412753434087156
