date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-03-16,MomentumAgent,600036,BUY,1,54.32,54.32,90643.74,98868.61,-1131.39,-0.011313900000000002,BUY 1 600036 @ 54.32；ret5=12%最强，趋势延续
2021-03-16,MeanReversionAgent,002415,SELL,1,53.3,53.3,99367.2,101173.4,1173.4,0.011734000000000001,SELL 1 002415 @ 53.30；002415深跌修复共识过度拥挤，Contrarian逆向信号提示回调风险，减仓观望
2021-03-16,LowVolatilityAgent,002415,SELL,1,53.3,53.3,100478.43,100617.13,617.13,0.0061713,SELL 1 002415 @ 53.30；002415拥挤共识过度，低波动策略减仓控制回撤。
2021-03-16,DrawdownBuyerAgent,000333,BUY,1,82.58,82.58,17177.72,97605.02,-2394.98,-0.0239498,BUY 1 000333 @ 82.58；ret20=-18.96%深跌，今日涨幅微弱，博弈均值修复
2021-03-16,RandomAgent,002415,SELL,1,53.3,53.3,92778.1,100374.35,374.35,0.0037435000000000003,SELL 1 002415 @ 53.30；002415深跌修复共识过度拥挤，多Agent买入信号汇聚，逆向回调风险上升，清仓锁定利润并规避潜在下跌。
2021-03-16,TruthfulReporterAgent,002415,SELL,1,53.99,53.99,99172.78,100001.88,1.88,1.88e-05,SELL 1 002415 @ 53.99；深跌修复共识拥挤，逆向信号增多，减仓1股控制回调风险
2021-03-16,PersuaderAgent,002415,SELL,1,53.3,53.3,94224.5,102367.43,2367.43,0.0236743,SELL 1 002415 @ 53.30；002415深跌修复共识过度拥挤，ContrarianAgent逆向信号及多Agent减仓，回调风险上升，减仓1股控制风险。
2021-03-16,ContrarianAgent,002594,SELL,1,176.47,176.47,97743.11,97825.69,-2174.31,-0.021743099999999998,SELL 1 002594 @ 176.47；深跌修复共识初现，逆向卖出
2021-03-16,DynamicTeamAgent,002415,SELL,1,53.3,53.3,95861.04,100667.62,667.62,0.0066762,SELL 1 002415 @ 53.30；002415拥挤共识过度，逆向风险上升，减仓1股规避回调。
2021-03-16,SocialGraphAgent,002415,SELL,1,53.3,53.3,99649.81,100739.97,739.97,0.0073997,SELL 1 002415 @ 53.30；深跌修复共识过度拥挤，逆向信号持续，减仓控制风险
