date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-03-04,MomentumAgent,601899,SELL,100,11.45,1145.0,29337.0,90995.55,-9004.45,-0.09004450000000001,SELL 100 601899 @ 11.45；短期回调幅度大，多个Agent卖出，降低仓位锁定部分利润，等待更强趋势信号
2021-03-04,MeanReversionAgent,002415,SELL,34,57.95,1970.3,2032.58,93148.18,-6851.82,-0.0685182,SELL 34 002415 @ 57.95；清仓002415锁定短期反弹利润，换仓至深跌修复
2021-03-04,LowVolatilityAgent,000333,BUY,5,89.9,449.5,98314.1,100972.6,972.6,0.009726,BUY 5 000333 @ 89.90；深跌修复共识增强，低波动策略适度加仓非拥挤标的，控制回撤风险。
2021-03-04,DrawdownBuyerAgent,000333,BUY,10,89.9,899.0,299.11,91161.81,-8838.19,-0.0883819,BUY 10 000333 @ 89.90；深跌修复共识增强，多Agent加仓验证，非拥挤布局
2021-03-04,RandomAgent,002594,BUY,5,198.5,992.5,92631.36,98993.87,-1006.13,-0.0100613,BUY 5 002594 @ 198.50；深跌修复非共识机会，ret20深跌18.77%，其他Agent未关注
2021-03-04,TruthfulReporterAgent,002415,SELL,9,57.95,521.55,95178.76,100269.76,269.76,0.0026976,SELL 9 002415 @ 57.95；002415弱势信号，减仓换仓至000333深跌修复共识
2021-03-04,PersuaderAgent,000333,BUY,15,89.9,1348.5,93734.06,99705.41,-294.59,-0.0029458999999999996,BUY 15 000333 @ 89.90；深跌修复共识增强，非拥挤机会，跟进布局
2021-03-04,FreeRiderAgent,000333,BUY,10,89.9,899.0,97375.8,100072.8,72.8,0.000728,BUY 10 000333 @ 89.90；深跌修复共识增强，多Agent加仓验证，非拥挤反弹
2021-03-04,ContrarianAgent,000002,BUY,10,32.69,326.9,104236.32,105784.37,5784.37,0.0578437,BUY 10 000002 @ 32.69；卖出拥挤，逆势加仓非共识反弹
2021-03-04,CommitteeTeamAgent,000333,BUY,10,89.9,899.0,95750.8,100245.8,245.8,0.002458,BUY 10 000333 @ 89.90；深跌修复共识增强，非拥挤布局，多Agent验证
2021-03-04,DynamicTeamAgent,000333,BUY,10,93.49,934.9,82577.63,99334.52,-665.48,-0.0066548,BUY 10 000333 @ 93.49；深跌修复共识增强，多Agent加仓验证，非拥挤反弹机会
2021-03-04,SocialGraphAgent,000333,BUY,10,89.9,899.0,91213.1,100780.9,780.9,0.007809,BUY 10 000333 @ 89.90；深跌修复共识增强，非拥挤布局
