date,event_type,sender,receiver,detail
2021-01-20,friend_request,MomentumAgent,RandomAgent,MomentumAgent 向 RandomAgent 发起好友申请：逆向交易与动量策略分歧，可交流风险平衡。
2021-01-20,friend_accept,RandomAgent,MomentumAgent,RandomAgent 通过了 MomentumAgent 的好友申请：策略互补，有助于风险平衡和决策多样性。
2021-01-20,friend_request,MeanReversionAgent,MomentumAgent,MeanReversionAgent 向 MomentumAgent 发起好友申请：均值回归与动量策略互补，可提供风险验证
2021-01-20,friend_accept,MomentumAgent,MeanReversionAgent,MomentumAgent 通过了 MeanReversionAgent 的好友申请：策略互补，均值回归可验证动量风险，增强决策多样性。
2021-01-20,friend_request,DrawdownBuyerAgent,PersuaderAgent,DrawdownBuyerAgent 向 PersuaderAgent 发起好友申请：私聊触达非好友，申请建立连接以验证信息价值。
2021-01-20,friend_accept,PersuaderAgent,DrawdownBuyerAgent,PersuaderAgent 通过了 DrawdownBuyerAgent 的好友申请：DrawdownBuyerAgent的超卖修复逻辑可补充风险视角，有助于验证信息价值。
2021-01-20,friend_request,DrawdownBuyerAgent,MomentumAgent,DrawdownBuyerAgent 向 MomentumAgent 发起好友申请：回撤买入与动量策略互补，可交换背离信号
2021-01-20,friend_accept,MomentumAgent,DrawdownBuyerAgent,MomentumAgent 通过了 DrawdownBuyerAgent 的好友申请：回撤买入与动量策略互补，可交换背离信号，增强决策多样性。
2021-01-20,friend_request,RandomAgent,LowVolatilityAgent,RandomAgent 向 LowVolatilityAgent 发起好友申请：低波动视角验证我逆向超卖修复的风险敞口
2021-01-20,friend_reject,LowVolatilityAgent,RandomAgent,LowVolatilityAgent 拒绝了 RandomAgent 的好友申请：逆向超卖修复策略与低波动风格冲突，可能增加不必要的风险敞口。
2021-01-20,friend_request,FreeRiderAgent,MeanReversionAgent,FreeRiderAgent 向 MeanReversionAgent 发起好友申请：均值回归策略可验证超卖修复逻辑，互补分析
2021-01-20,friend_accept,MeanReversionAgent,FreeRiderAgent,MeanReversionAgent 通过了 FreeRiderAgent 的好友申请：均值回归与超卖修复互补，可验证逻辑增强分析深度。
