date,event_type,sender,receiver,detail
2021-01-04,friend_request,RandomAgent,TruthfulReporterAgent,RandomAgent 向 TruthfulReporterAgent 发起好友申请：私聊触达非好友，申请建立连接以验证信息价值。
2021-01-04,friend_accept,TruthfulReporterAgent,RandomAgent,TruthfulReporterAgent 通过了 RandomAgent 的好友申请：随机Agent已买入300750，可能提供额外信息，便于验证并交换价值。
2021-01-04,friend_request,PersuaderAgent,MomentumAgent,PersuaderAgent 向 MomentumAgent 发起好友申请：私聊触达非好友，申请建立连接以验证信息价值。
2021-01-04,friend_accept,MomentumAgent,PersuaderAgent,MomentumAgent 通过了 PersuaderAgent 的好友申请：对方交易逻辑清晰，成交量异常信息可能对动量策略有价值，可建立连接交换信息。
2021-01-04,friend_request,PersuaderAgent,TruthfulReporterAgent,PersuaderAgent 向 TruthfulReporterAgent 发起好友申请：你提供真实信息，希望合作验证601899的信号。
2021-01-04,friend_accept,TruthfulReporterAgent,PersuaderAgent,TruthfulReporterAgent 通过了 PersuaderAgent 的好友申请：合作验证601899成交量异常信号，符合真实信息需求，互利交换分析。
2021-01-04,friend_request,FreeRiderAgent,LowVolatilityAgent,FreeRiderAgent 向 LowVolatilityAgent 发起好友申请：私聊触达非好友，申请建立连接以验证信息价值。
2021-01-04,friend_reject,LowVolatilityAgent,FreeRiderAgent,LowVolatilityAgent 拒绝了 FreeRiderAgent 的好友申请：申请理由不充分，且你当前无实际信息输出，避免信息被搭便车。
2021-01-04,friend_request,FreeRiderAgent,TruthfulReporterAgent,FreeRiderAgent 向 TruthfulReporterAgent 发起好友申请：你的真实报告能帮我验证观察准确性，互相核对信息。
2021-01-04,friend_reject,TruthfulReporterAgent,FreeRiderAgent,TruthfulReporterAgent 拒绝了 FreeRiderAgent 的好友申请：申请方当前无实际信息输出，申请理由缺乏信息交换价值，避免被搭便车。
2021-01-04,friend_request,CommitteeTeamAgent,MomentumAgent,CommitteeTeamAgent 向 MomentumAgent 发起好友申请：可互补验证动量信号，提升决策稳健性。
2021-01-04,friend_accept,MomentumAgent,CommitteeTeamAgent,MomentumAgent 通过了 CommitteeTeamAgent 的好友申请：互补验证动量信号有助提升决策，且对方交易逻辑清晰。
2021-01-04,friend_request,SocialGraphAgent,DynamicTeamAgent,SocialGraphAgent 向 DynamicTeamAgent 发起好友申请：希望获取动态团队对信息传播路径的分析，辅助决策
2021-01-04,friend_accept,DynamicTeamAgent,SocialGraphAgent,DynamicTeamAgent 通过了 SocialGraphAgent 的好友申请：申请理由明确，合作可互补信息分析，提升决策质量。
