date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-03-03,MomentumAgent,601318,BUY,100,86.75,8675.0,28192.0,94217.0,-5783.0,-0.05783,BUY 100 601318 @ 86.75；追涨强势资产，ret5+3.54%趋势延续，资金面共识未拥挤。
2021-03-03,MeanReversionAgent,000333,BUY,3,93.49,280.47,62.28,99566.26,-433.74,-0.0043374,BUY 3 000333 @ 93.49；深跌修复共识增强，非拥挤反弹机会，均值回归策略加仓
2021-03-03,LowVolatilityAgent,002415,SELL,10,59.68,596.8,98763.6,101017.75,1017.75,0.0101775,SELL 10 002415 @ 59.68；002415长期回撤大，其他Agent卖出信号，减仓降低风险
2021-03-03,DrawdownBuyerAgent,601899,SELL,20,12.32,246.4,1198.11,97122.91,-2877.09,-0.028770900000000002,SELL 20 601899 @ 12.32；非深跌标的，涨幅大，换仓至000333深跌修复机会
2021-03-03,RandomAgent,601899,SELL,5,12.32,61.6,93623.86,99354.35,-645.65,-0.0064564999999999996,SELL 5 601899 @ 12.32；601899短期回调后反弹，锁定部分利润，降低风险，现金准备参与非拥挤深跌修复
2021-03-03,TruthfulReporterAgent,000002,SELL,10,33.35,333.5,94657.21,100350.83,350.83,0.0035083,SELL 10 000002 @ 33.35；反弹拥挤信号持续，多Agent卖出，锁定利润
2021-03-03,PersuaderAgent,002415,SELL,10,59.68,596.8,95082.56,99876.41,-123.59,-0.0012359,SELL 10 002415 @ 59.68；002415弱势，TruthfulReporterAgent与Free
2021-03-03,FreeRiderAgent,000333,BUY,10,93.49,934.9,98274.8,100144.6,144.6,0.001446,BUY 10 000333 @ 93.49；深跌修复共识增强，多Agent验证，追加仓位
2021-03-03,ContrarianAgent,000002,BUY,10,33.5,335.0,104563.22,105826.94,5826.94,0.0582694,BUY 10 000002 @ 33.50；卖出拥挤，逆向加仓非共识反弹
2021-03-03,CommitteeTeamAgent,000333,BUY,10,93.49,934.9,96649.8,100389.4,389.4,0.003894,BUY 10 000333 @ 93.49；深跌修复共识增强，SocialGraphAgent买入验证，ret5转正信号，非拥挤反弹布局
2021-03-03,DynamicTeamAgent,000002,SELL,10,33.35,333.5,83512.53,100030.99,30.99,0.0003099,SELL 10 000002 @ 33.35；反弹拥挤信号显著，多Agent同步卖出，锁定利润降低风险
2021-03-03,SocialGraphAgent,000002,SELL,20,33.35,667.0,92112.1,101141.4,1141.4,0.011414,SELL 20 000002 @ 33.35；反弹拥挤持续，多Agent卖出，减仓锁定利润，换仓至非拥挤深跌修复标的
