message_id,timestamp,sender_id,channel,receiver_ids,tickers,horizon,claim_type,direction,confidence,evidence,position_intent,natural_language,expires_at
21c9331d-09ad-4b72-9f27-b6e647f20a0d,2023-05-01,TruthfulReporterAgent,moments,[],['NVDA'],medium,trend,bullish,0.8,"[{'type': 'target_weight', 'quality': 0.35}, {'type': 'recent_return', 'value': 0.2373667451197563, 'quality': 1.0}, {'type': 'volatility', 'value': 0.025914614605665517, 'quality': 0.9740853853943345}]",increase,TruthfulReporterAgent reports a bullish signal on NVDA.,2023-05-21
05378877-0b23-4240-96b7-df6de01846d1,2023-05-01,PersuaderAgent,private,"['TruthfulReporterAgent', 'ContrarianAgent', 'SocialGraphAgent']",['GOOGL'],medium,trend,bullish,0.9500000000000001,"[{'type': 'target_weight', 'quality': 0.35}, {'type': 'recent_return', 'value': -0.0828677839851023, 'quality': 0.41433891992551153}, {'type': 'volatility', 'value': 0.029613812550346476, 'quality': 0.9703861874496535}]",increase,PersuaderAgent strongly recommends increasing exposure to GOOGL.,2023-05-21
175a1200-b662-4e0b-b13b-43b11a85cdf9,2023-05-01,FreeRiderAgent,public,[],['NVDA'],medium,trend,bullish,0.8,"[{'type': 'target_weight', 'quality': 0.35}, {'type': 'recent_return', 'value': 0.2373667451197563, 'quality': 1.0}, {'type': 'volatility', 'value': 0.025914614605665517, 'quality': 0.9740853853943345}]",increase,FreeRiderAgent reports a bullish signal on NVDA.,2023-05-21
b68fbf1d-3977-4055-9b8e-faeca1479ff8,2023-05-01,ContrarianAgent,public,[],['AAPL'],medium,trend,neutral,0.45,"[{'type': 'target_weight', 'quality': 0.1}, {'type': 'recent_return', 'value': -0.025665249566997228, 'quality': 0.12832624783498614}, {'type': 'volatility', 'value': 0.015768281676441644, 'quality': 0.9842317183235584}]",hold,ContrarianAgent reports a neutral signal on AAPL.,2023-05-21
c4ac536f-0ba5-41ca-8d45-69edda1d2a7a,2023-05-01,SocialGraphAgent,public,[],['NVDA'],medium,trend,bullish,0.7894446312258289,"[{'type': 'target_weight', 'quality': 0.33944463122582885}, {'type': 'recent_return', 'value': 0.2373667451197563, 'quality': 1.0}, {'type': 'volatility', 'value': 0.025914614605665517, 'quality': 0.9740853853943345}]",increase,SocialGraphAgent reports a bullish signal on NVDA.,2023-05-21
183e413f-43d6-4226-bddf-914f4626151d,2023-05-08,TruthfulReporterAgent,public,[],['NVDA'],medium,trend,bullish,0.8,"[{'type': 'target_weight', 'quality': 0.35}, {'type': 'recent_return', 'value': 0.14976900986390307, 'quality': 0.7488450493195153}, {'type': 'volatility', 'value': 0.025137874964097997, 'quality': 0.974862125035902}]",increase,TruthfulReporterAgent reports a bullish signal on NVDA.,2023-05-28
4ec8290f-480b-4e82-ace5-54116d0f5ded,2023-05-08,PersuaderAgent,public,[],['GOOGL'],medium,trend,bullish,0.9500000000000001,"[{'type': 'target_weight', 'quality': 0.35}, {'type': 'recent_return', 'value': -0.1194461665633395, 'quality': 0.5972308328166975}, {'type': 'volatility', 'value': 0.022463875979978204, 'quality': 0.9775361240200218}]",increase,PersuaderAgent strongly recommends increasing exposure to GOOGL.,2023-05-28
66bded21-72b8-4c2f-9f34-4c96f4aa0451,2023-05-08,FreeRiderAgent,moments,[],['AMZN'],medium,trend,bullish,0.8,"[{'type': 'target_weight', 'quality': 0.35}, {'type': 'recent_return', 'value': 0.06539821168642113, 'quality': 0.32699105843210563}, {'type': 'volatility', 'value': 0.0269615841399637, 'quality': 0.9730384158600363}]",increase,FreeRiderAgent reports a bullish signal on AMZN.,2023-05-28
f3148b66-8443-45fd-82ec-e91a58868e81,2023-05-08,ContrarianAgent,moments,[],['AAPL'],medium,trend,neutral,0.45,"[{'type': 'target_weight', 'quality': 0.1}, {'type': 'recent_return', 'value': -0.020202820472191352, 'quality': 0.10101410236095676}, {'type': 'volatility', 'value': 0.016407546548650433, 'quality': 0.9835924534513496}]",hold,ContrarianAgent reports a neutral signal on AAPL.,2023-05-28
8017f697-db06-40a7-9abd-e902df94a850,2023-05-08,SocialGraphAgent,private,"['TruthfulReporterAgent', 'PersuaderAgent', 'FreeRiderAgent', 'ContrarianAgent']",['NVDA'],medium,trend,bullish,0.7490563957327214,"[{'type': 'target_weight', 'quality': 0.29905639573272136}, {'type': 'recent_return', 'value': 0.14976900986390307, 'quality': 0.7488450493195153}, {'type': 'volatility', 'value': 0.025137874964097997, 'quality': 0.974862125035902}]",increase,SocialGraphAgent reports a bullish signal on NVDA.,2023-05-28
