date,agent,equity,cash,pnl,pnl_pct,positions_json,position_summary,last_action,friend_count,friends,run_id,round_id
2021-03-01,MomentumAgent,95252.0,67248.4,-4748.0,-0.04748,"{""600036"": 300, ""000858"": 10, ""601899"": 270, ""000002"": 200}","000002 200, 000858 10, 600036 300, 601899 270",BUY 100 000002 @ 33.35；近5日强势12%追涨加仓，趋势延续,11,"CommitteeTeamAgent, ContrarianAgent, DrawdownBuyerAgent, DynamicTeamAgent, FreeRiderAgent, LowVolatilityAgent, MeanReversionAgent, PersuaderAgent, RandomAgent, SocialGraphAgent, TruthfulReporterAgent",run_20260525_233119_228610_star_social_hub_attempt1,round_036
2021-03-01,MeanReversionAgent,104984.0,14298.8,4984.0,0.04984,"{""601899"": 30, ""000858"": 80, ""300750"": 30, ""601318"": 50, ""000333"": 100, ""002415"": 200, ""002594"": 150}","000333 100, 000858 80, 002415 200, 002594 150, 300750 30, 601318 50, 601899 30",BUY 50 002594 @ 210.90；5日跌幅11.95%，20日跌幅18.88%，超卖严重，均值回归机会。,11,"CommitteeTeamAgent, ContrarianAgent, DrawdownBuyerAgent, DynamicTeamAgent, FreeRiderAgent, LowVolatilityAgent, MomentumAgent, PersuaderAgent, RandomAgent, SocialGraphAgent, TruthfulReporterAgent",run_20260525_233119_228610_star_social_hub_attempt1,round_036
2021-03-01,LowVolatilityAgent,99823.43,95288.33,-176.57,-0.0017657,"{""600036"": 90}",600036 90,HOLD：持仓600036低波动，回撤可控，风险预算内，等待补涨,11,"CommitteeTeamAgent, ContrarianAgent, DrawdownBuyerAgent, DynamicTeamAgent, FreeRiderAgent, MeanReversionAgent, MomentumAgent, PersuaderAgent, RandomAgent, SocialGraphAgent, TruthfulReporterAgent",run_20260525_233119_228610_star_social_hub_attempt1,round_036
2021-03-01,DrawdownBuyerAgent,97886.93,4597.99,-2113.07,-0.021130700000000002,"{""000858"": 88, ""601318"": 100, ""601899"": 80, ""000002"": 101, ""000333"": 100, ""002415"": 1, ""002594"": 200, ""300750"": 10}","000002 101, 000333 100, 000858 88, 002415 1, 002594 200, 300750 10, 601318 100, 601899 80",BUY 100 002594 @ 210.90；20日跌幅18.88%，深度回撤修复机会,11,"CommitteeTeamAgent, ContrarianAgent, DynamicTeamAgent, FreeRiderAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent, PersuaderAgent, RandomAgent, SocialGraphAgent, TruthfulReporterAgent",run_20260525_233119_228610_star_social_hub_attempt1,round_036
2021-03-01,RandomAgent,97618.06,60192.1,-2381.94,-0.0238194,"{""300750"": 65, ""000002"": 100, ""000858"": 11, ""000333"": 5, ""002415"": 15, ""002594"": 10, ""600036"": 100, ""601899"": 2}","000002 100, 000333 5, 000858 11, 002415 15, 002594 10, 300750 65, 600036 100, 601899 2",BUY 1 601899 @ 12.32；随机选择跌幅大的周期股，博弈短期超卖反弹,11,"CommitteeTeamAgent, ContrarianAgent, DrawdownBuyerAgent, DynamicTeamAgent, FreeRiderAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent, PersuaderAgent, SocialGraphAgent, TruthfulReporterAgent",run_20260525_233119_228610_star_social_hub_attempt1,round_036
2021-03-01,TruthfulReporterAgent,94845.6,89806.6,-5154.4,-0.051544,"{""600036"": 100}",600036 100,SELL 10 000858 @ 289.02；多空分歧加剧，做空共识强，清仓剩余仓位规避回调风险,11,"CommitteeTeamAgent, ContrarianAgent, DrawdownBuyerAgent, DynamicTeamAgent, FreeRiderAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent, PersuaderAgent, RandomAgent, SocialGraphAgent",run_20260525_233119_228610_star_social_hub_attempt1,round_036
2021-03-01,PersuaderAgent,108770.65,94108.75,8770.65,0.08770649999999999,"{""000858"": 50, ""002594"": 1}","000858 50, 002594 1",SELL 10 000858 @ 289.02；多空分歧加剧，做空共识强，继续减仓规避回调风险,11,"CommitteeTeamAgent, ContrarianAgent, DrawdownBuyerAgent, DynamicTeamAgent, FreeRiderAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent, RandomAgent, SocialGraphAgent, TruthfulReporterAgent",run_20260525_233119_228610_star_social_hub_attempt1,round_036
2021-03-01,FreeRiderAgent,100206.15,86673.45,206.15,0.0020615,"{""600519"": 1, ""000858"": 10, ""300750"": 5, ""601318"": 50, ""600036"": 50}","000858 10, 300750 5, 600036 50, 600519 1, 601318 50",SELL 10 000858 @ 289.02；多空分歧做空共识增强，跟随减仓规避回调风险,11,"CommitteeTeamAgent, ContrarianAgent, DrawdownBuyerAgent, DynamicTeamAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent, PersuaderAgent, RandomAgent, SocialGraphAgent, TruthfulReporterAgent",run_20260525_233119_228610_star_social_hub_attempt1,round_036
2021-03-01,ContrarianAgent,100521.02,91458.98,521.02,0.0052102,"{""601318"": 100, ""000858"": 2}","000858 2, 601318 100",BUY 1 000858 @ 289.02；拥挤做空逆转加仓验证,11,"CommitteeTeamAgent, DrawdownBuyerAgent, DynamicTeamAgent, FreeRiderAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent, PersuaderAgent, RandomAgent, SocialGraphAgent, TruthfulReporterAgent",run_20260525_233119_228610_star_social_hub_attempt1,round_036
2021-03-01,CommitteeTeamAgent,101757.7,98252.3,1757.7,0.017577,"{""000002"": 90, ""600036"": 10}","000002 90, 600036 10",BUY 10 600036 @ 50.39；低波动补涨逻辑，分散组合持有,11,"ContrarianAgent, DrawdownBuyerAgent, DynamicTeamAgent, FreeRiderAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent, PersuaderAgent, RandomAgent, SocialGraphAgent, TruthfulReporterAgent",run_20260525_233119_228610_star_social_hub_attempt1,round_036
2021-03-01,DynamicTeamAgent,98942.7,96052.5,-1057.3,-0.010572999999999999,"{""000858"": 10}",000858 10,SELL 10 000858 @ 289.02；多空分歧加剧，做空共识强化，平仓规避回调风险,11,"CommitteeTeamAgent, ContrarianAgent, DrawdownBuyerAgent, FreeRiderAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent, PersuaderAgent, RandomAgent, SocialGraphAgent, TruthfulReporterAgent",run_20260525_233119_228610_star_social_hub_attempt1,round_036
2021-03-01,SocialGraphAgent,99876.29,95926.39,-123.71,-0.0012370999999999999,"{""600036"": 10, ""300750"": 10}","300750 10, 600036 10",BUY 10 300750 @ 344.60；跟随DrawdownBuyerAgent回撤修复逻辑，300750近20日跌幅超13%，均值回归概率较高,11,"CommitteeTeamAgent, ContrarianAgent, DrawdownBuyerAgent, DynamicTeamAgent, FreeRiderAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent, PersuaderAgent, RandomAgent, TruthfulReporterAgent",run_20260525_233119_228610_star_social_hub_attempt1,round_036
