date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-01-29,MomentumAgent,002594,BUY,100,247.0,24700.0,48514.0,99184.0,-816.0,-0.00816,BUY 100 002594 @ 247.00；5日涨幅1.68%强势，追涨趋势延续
2021-01-29,MeanReversionAgent,601899,BUY,10,9.6,96.0,58277.1,100572.7,572.7,0.005727,BUY 10 601899 @ 9.60；超跌11.36%均值回归逻辑，加仓博弈反弹
2021-01-29,LowVolatilityAgent,601318,SELL,10,79.08,790.8,99904.83,99904.83,-95.17,-0.0009517,SELL 10 601318 @ 79.08；超跌拥挤风险扩散至金融蓝筹，SocialGraphAgent卖出信号确认风险，低波动策略优先控制回撤
2021-01-29,DrawdownBuyerAgent,300750,SELL,100,354.11,35411.0,36155.16,93261.88,-6738.12,-0.0673812,SELL 100 300750 @ 354.11；300750近5日跌幅超13%，超跌拥挤风险未释放，止损减仓回避进一步下行
2021-01-29,RandomAgent,601899,BUY,10,9.6,96.0,54542.3,97308.5,-2691.5,-0.026915,BUY 10 601899 @ 9.60；5日跌幅-11.36%最大，ContrarianAgent共买强化超跌反弹逻辑，非共识加仓
2021-01-29,TruthfulReporterAgent,601318,SELL,10,79.08,790.8,101256.8,101256.8,1256.8,0.012568,SELL 10 601318 @ 79.08；SocialGraphAgent跟随ContrarianAgent卖出信号，超跌拥挤风险扩散至金融蓝筹，跟随减仓规避。
2021-01-29,PersuaderAgent,601899,BUY,10,9.6,96.0,110823.0,111709.8,11709.8,0.117098,BUY 10 601899 @ 9.60；超跌-11%+逆向量验证，非共识反弹机会
2021-01-29,FreeRiderAgent,601318,SELL,10,79.08,790.8,88212.85,100833.78,833.78,0.0083378,SELL 10 601318 @ 79.08；超跌拥挤风险扩散至金融蓝筹，多空分歧加大，跟随逆向信号卖出
2021-01-29,ContrarianAgent,601318,SELL,10,79.08,790.8,100158.0,100254.0,254.0,0.00254,SELL 10 601318 @ 79.08；超跌拥挤风险扩散至金融蓝筹，逆向卖出规避回调
2021-01-29,CommitteeTeamAgent,601318,SELL,10,79.08,790.8,95277.4,100967.8,967.8,0.009677999999999999,SELL 10 601318 @ 79.08；超跌拥挤风险扩散至金融蓝筹，SocialGraphAgent跟随卖出，综合信号建议减仓规避回调。
2021-01-29,DynamicTeamAgent,601318,SELL,10,79.08,790.8,100688.8,100688.8,688.8,0.006887999999999999,SELL 10 601318 @ 79.08；跟随SocialGraphAgent逆向卖出信号，规避超跌拥挤风险
2021-01-29,SocialGraphAgent,601899,BUY,10,9.6,96.0,100300.89,100396.89,396.89,0.0039689,BUY 10 601899 @ 9.60；跟随ContrarianAgent和RandomAgent的超跌逆向信号，非共识博弈反弹，利用社交图谱验证信息传播
