date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-02-02,MomentumAgent,600036,SELL,50,51.97,2598.5,16393.5,103789.0,3789.0,0.03789,SELL 50 600036 @ 51.97；600036拥挤度上升，多Agent减仓信号，降低风险暴露
2021-02-02,MeanReversionAgent,300750,BUY,10,367.8,3678.0,25128.81,103536.41,3536.41,0.035364099999999996,BUY 10 300750 @ 367.80；深度回撤-8.51%，非共识均值回归机会
2021-02-02,LowVolatilityAgent,002415,BUY,10,64.48,644.8,98222.1,100992.8,992.8,0.009928,BUY 10 002415 @ 64.48；降低600036拥挤风险，分散至强势回调标的002415，ret20强劲且近期回调
2021-02-02,DrawdownBuyerAgent,000002,SELL,20,28.34,566.8,3779.21,102940.21,2940.21,0.0294021,SELL 20 000002 @ 28.34；000002超跌共识拥挤，多个Agent卖出，降低风险暴露，等待更佳回撤买入时机
2021-02-02,RandomAgent,000858,BUY,10,304.12,3041.2,89779.56,99087.36,-912.64,-0.0091264,BUY 10 000858 @ 304.12；非共识超跌，分散拥挤，低买等待回归
2021-02-02,TruthfulReporterAgent,000002,SELL,10,28.34,283.4,95390.6,100115.0,115.0,0.00115,SELL 10 000002 @ 28.34；超跌共识拥挤上升，多Agent减仓信号，降低风险暴露。
2021-02-02,PersuaderAgent,000002,SELL,10,28.34,283.4,97010.63,99986.73,-13.27,-0.0001327,SELL 10 000002 @ 28.34；超跌共识拥挤度上升，ContrarianAgent做空信号，降低风险暴露
2021-02-02,FreeRiderAgent,000002,SELL,20,28.34,566.8,97793.9,100061.1,61.1,0.000611,"SELL 20 000002 @ 28.34；Reduce crowded consensus on 000002, partial profit taking."
2021-02-02,CommitteeTeamAgent,000002,SELL,20,28.34,566.8,98308.8,100506.2,506.2,0.005062,SELL 20 000002 @ 28.34；超跌共识拥挤，多Agent减仓，降低风险暴露
2021-02-02,DynamicTeamAgent,000002,SELL,20,28.34,566.8,86420.95,99945.55,-54.45,-0.0005445000000000001,SELL 20 000002 @ 28.34；降低超跌风险
2021-02-02,SocialGraphAgent,300750,BUY,10,367.8,3678.0,88975.2,100447.1,447.1,0.004471,BUY 10 300750 @ 367.80；分散000002拥挤风险，超跌非共识机会，与部分Agent同步
