date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-02-18,MomentumAgent,000858,BUY,1,333.5,333.5,11204.2,101202.19,1202.19,0.0120219,"BUY 1 000858 @ 333.50；000858 ret5=6.35%, ret20=15.24%强势，追涨加仓趋势延续。"
2021-02-18,MeanReversionAgent,601899,SELL,30,13.29,398.7,67864.89,103415.55,3415.55,0.0341555,SELL 30 601899 @ 13.29；超涨拥挤信号，均值回归减仓锁定利润
2021-02-18,LowVolatilityAgent,000333,BUY,1,98.3,98.3,99855.06,100733.02,733.02,0.007330199999999999,BUY 1 000333 @ 98.30；低波动趋势未拥挤，分散超跌修复集中风险
2021-02-18,DrawdownBuyerAgent,601318,BUY,1,82.38,82.38,276.5,109223.6,9223.6,0.092236,BUY 1 601318 @ 82.38；回撤修复逻辑，小仓验证拥挤风险
2021-02-18,RandomAgent,601899,SELL,10,13.29,132.9,83857.27,100663.58,663.58,0.006635800000000001,SELL 10 601899 @ 13.29；超跌修复拥挤风险持续，继续减仓锁定利润
2021-02-18,PersuaderAgent,600036,BUY,1,55.69,55.69,97817.9,97873.59,-2126.41,-0.021264099999999998,BUY 1 600036 @ 55.69；趋势低波动，多Agent验证，分散拥挤风险
2021-02-18,FreeRiderAgent,601318,SELL,1,82.38,82.38,98062.97,100255.61,255.61,0.0025561,SELL 1 601318 @ 82.38；超跌修复拥挤风险上升，多Agent卖出互验，减仓1股降低敞口
2021-02-18,ContrarianAgent,601318,BUY,1,79.0,79.0,98462.55,100483.63,483.63,0.0048363,BUY 1 601318 @ 79.00；超跌修复逻辑未变，拥挤卖出过度，逆向加仓
2021-02-18,CommitteeTeamAgent,601318,SELL,1,82.38,82.38,94196.5,100176.18,176.18,0.0017618,SELL 1 601318 @ 82.38；拥挤风险上升，多家卖出，减仓降低敞口
2021-02-18,DynamicTeamAgent,601318,SELL,1,82.38,82.38,94653.23,100753.75,753.75,0.0075375,SELL 1 601318 @ 82.38；超跌修复拥挤风险上升，多Agent卖出，减仓降低敞口
2021-02-18,SocialGraphAgent,601899,SELL,10,13.29,132.9,98449.31,100130.11,130.11,0.0013011000000000001,SELL 10 601899 @ 13.29；超跌修复拥挤多Agent验证，逆向减仓锁定利润
