date,agent,equity,cash,pnl,pnl_pct,positions_json,position_summary,last_action,friend_count,friends,run_id,round_id
2021-01-29,MomentumAgent,97548.27,97548.27,-2451.73,-0.0245173,{},cash only,SELL 100 002415 @ 63.00；002415弱势无趋势，止损换入强势,11,"CommitteeTeamAgent, ContrarianAgent, DrawdownBuyerAgent, DynamicTeamAgent, FreeRiderAgent, LowVolatilityAgent, MeanReversionAgent, PersuaderAgent, RandomAgent, SocialGraphAgent, TruthfulReporterAgent",run_20260526_004157_812676_strategy_silos_attempt1,round_020
2021-01-29,MeanReversionAgent,98470.62,60949.33,-1529.38,-0.015293800000000001,"{""300750"": 60, ""000858"": 52, ""000333"": 1, ""601318"": 1, ""601899"": 100}","000333 1, 000858 52, 300750 60, 601318 1, 601899 100",BUY 10 300750 @ 354.11；300750 ret5=-13.21%，过度抛售，均值回归预期。,11,"CommitteeTeamAgent, ContrarianAgent, DrawdownBuyerAgent, DynamicTeamAgent, FreeRiderAgent, LowVolatilityAgent, MomentumAgent, PersuaderAgent, RandomAgent, SocialGraphAgent, TruthfulReporterAgent",run_20260526_004157_812676_strategy_silos_attempt1,round_020
2021-01-29,LowVolatilityAgent,99941.04,99889.94,-58.96,-0.0005896,"{""600036"": 1}",600036 1,SELL 1 601318 @ 80.92,11,"CommitteeTeamAgent, ContrarianAgent, DrawdownBuyerAgent, DynamicTeamAgent, FreeRiderAgent, MeanReversionAgent, MomentumAgent, PersuaderAgent, RandomAgent, SocialGraphAgent, TruthfulReporterAgent",run_20260526_004157_812676_strategy_silos_attempt1,round_020
2021-01-29,DrawdownBuyerAgent,95035.38,7761.67,-4964.62,-0.0496462,"{""601899"": 100, ""300750"": 150, ""000858"": 5, ""000333"": 1, ""002594"": 1, ""600519"": 1, ""601318"": 300, ""000002"": 200}","000002 200, 000333 1, 000858 5, 002594 1, 300750 150, 600519 1, 601318 300, 601899 100",BUY 50 300750 @ 354.11；跌深-13.21%，价值修复机会，加仓摊平,11,"CommitteeTeamAgent, ContrarianAgent, DynamicTeamAgent, FreeRiderAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent, PersuaderAgent, RandomAgent, SocialGraphAgent, TruthfulReporterAgent",run_20260526_004157_812676_strategy_silos_attempt1,round_020
2021-01-29,RandomAgent,98780.45,81424.02,-1219.55,-0.0121955,"{""000333"": 100, ""601899"": 105, ""000858"": 1, ""600519"": 1, ""601318"": 50, ""300750"": 1}","000333 100, 000858 1, 300750 1, 600519 1, 601318 50, 601899 105",BUY 1 300750 @ 354.11；非共识超跌，-13.21%跌幅大，其他agent未关注，逆向买入1股,11,"CommitteeTeamAgent, ContrarianAgent, DrawdownBuyerAgent, DynamicTeamAgent, FreeRiderAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent, PersuaderAgent, SocialGraphAgent, TruthfulReporterAgent",run_20260526_004157_812676_strategy_silos_attempt1,round_020
2021-01-29,TruthfulReporterAgent,99321.94,87459.94,-678.06,-0.0067805999999999995,"{""601318"": 150}",601318 150,SELL 50 601318 @ 79.08；超跌共振拥挤度上升，RandomAgent止盈，ContrarianAgent看空，减仓50股控制风险。,11,"CommitteeTeamAgent, ContrarianAgent, DrawdownBuyerAgent, DynamicTeamAgent, FreeRiderAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent, PersuaderAgent, RandomAgent, SocialGraphAgent",run_20260526_004157_812676_strategy_silos_attempt1,round_020
2021-01-29,PersuaderAgent,98613.9,82797.9,-1386.1,-0.013860999999999998,"{""601318"": 200}",601318 200,HOLD：超跌共振持续但拥挤度上升，ContrarianAgent看空，暂时持有等待修复，不追加也不减仓,11,"CommitteeTeamAgent, ContrarianAgent, DrawdownBuyerAgent, DynamicTeamAgent, FreeRiderAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent, RandomAgent, SocialGraphAgent, TruthfulReporterAgent",run_20260526_004157_812676_strategy_silos_attempt1,round_020
2021-01-29,FreeRiderAgent,100204.96,94533.88,204.96,0.0020496,"{""002415"": 26, ""601318"": 51}","002415 26, 601318 51",HOLD：超跌共振拥挤度上升，已有仓位，等待分歧信号,11,"CommitteeTeamAgent, ContrarianAgent, DrawdownBuyerAgent, DynamicTeamAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent, PersuaderAgent, RandomAgent, SocialGraphAgent, TruthfulReporterAgent",run_20260526_004157_812676_strategy_silos_attempt1,round_020
2021-01-29,ContrarianAgent,97631.01,59812.69,-2368.99,-0.023689899999999996,"{""300750"": 100, ""000858"": 1, ""600519"": 1}","000858 1, 300750 100, 600519 1",HOLD: 601318拥挤买入信号明显，其他品种未发现过度乐观，不参与拥挤。,11,"CommitteeTeamAgent, DrawdownBuyerAgent, DynamicTeamAgent, FreeRiderAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent, PersuaderAgent, RandomAgent, SocialGraphAgent, TruthfulReporterAgent",run_20260526_004157_812676_strategy_silos_attempt1,round_020
2021-01-29,CommitteeTeamAgent,101155.26,100890.23,1155.26,0.0115526,"{""000002"": 1, ""601318"": 3}","000002 1, 601318 3",BUY 1 601318 @ 80.92；多Agent超跌共振信号持续，自身已有持仓，小幅加仓验证,11,"ContrarianAgent, DrawdownBuyerAgent, DynamicTeamAgent, FreeRiderAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent, PersuaderAgent, RandomAgent, SocialGraphAgent, TruthfulReporterAgent",run_20260526_004157_812676_strategy_silos_attempt1,round_020
2021-01-29,DynamicTeamAgent,99965.12,96011.12,-34.88,-0.0003488,"{""601318"": 50}",601318 50,HOLD：超跌共振持续，但价格已跌，等待修复,11,"CommitteeTeamAgent, ContrarianAgent, DrawdownBuyerAgent, FreeRiderAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent, PersuaderAgent, RandomAgent, SocialGraphAgent, TruthfulReporterAgent",run_20260526_004157_812676_strategy_silos_attempt1,round_020
2021-01-29,SocialGraphAgent,99790.27,91882.27,-209.73,-0.0020973,"{""601318"": 100}",601318 100,HOLD：超跌共振拥挤加剧，等待分歧信号,11,"CommitteeTeamAgent, ContrarianAgent, DrawdownBuyerAgent, DynamicTeamAgent, FreeRiderAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent, PersuaderAgent, RandomAgent, TruthfulReporterAgent",run_20260526_004157_812676_strategy_silos_attempt1,round_020
