date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-01-15,MomentumAgent,600036,BUY,100,51.14,5114.0,75242.55,101435.19,1435.19,0.0143519,BUY 100 600036 @ 51.14；5日涨幅9.74%，量能放大，趋势强劲延续
2021-01-15,MeanReversionAgent,601899,BUY,100,10.56,1056.0,13677.5,95943.5,-4056.5,-0.040565,BUY 100 601899 @ 10.56；超跌巨量，均值回归反弹机会
2021-01-15,LowVolatilityAgent,600036,SELL,30,51.14,1534.2,94253.4,100842.4,842.4,0.008424,SELL 30 600036 @ 51.14；短期涨幅9.74%，止盈降低风险敞口
2021-01-15,DrawdownBuyerAgent,601899,BUY,100,10.56,1056.0,60.0,96711.0,-3289.0,-0.03289,BUY 100 601899 @ 10.56；超跌巨量，5日跌6.96%，回撤买入验证反弹机会
2021-01-15,RandomAgent,002415,SELL,100,58.9,5890.0,68922.0,98748.0,-1252.0,-0.01252,SELL 100 002415 @ 58.90；002415小幅获利，随机视角换仓至000333超跌-3.22%，博反弹
2021-01-15,TruthfulReporterAgent,000002,BUY,100,29.99,2999.0,96302.0,102292.0,2292.0,0.02292,BUY 100 000002 @ 29.99；底部共识强化，多agent验证，量能持稳
2021-01-15,PersuaderAgent,000002,BUY,100,29.95,2995.0,104589.0,107584.0,7584.0,0.07584,BUY 100 000002 @ 29.95；底部共识强化，多agent验证，量能持稳，加仓跟随
2021-01-15,CommitteeTeamAgent,000002,BUY,100,29.95,2995.0,91402.5,102469.5,2469.5,0.024695,BUY 100 000002 @ 29.95；底部共识强化，多agent验证，量能持稳，加仓跟随
2021-01-15,DynamicTeamAgent,600519,SELL,10,2082.0,20820.0,22625.44,104353.74,4353.74,0.0435374,SELL 10 600519 @ 2082.00；组合过度集中白酒，减仓获利平仓，腾出资金加仓底部共识000002
2021-01-15,SocialGraphAgent,300750,BUY,1,380.55,380.55,87874.45,100235.0,235.0,0.00235,BUY 1 300750 @ 380.55；超跌反弹逻辑，DynamicTeamAgent加仓验证，5日跌幅5.92%量能正常
