date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-03-01,MomentumAgent,600036,SELL,100,50.39,5039.0,46219.0,93378.6,-6621.4,-0.066214,SELL 100 600036 @ 50.39；减仓弱势，ret5=-7%趋势弱，资金转移至深跌修复机会
2021-03-01,MeanReversionAgent,002415,BUY,19,58.23,1106.37,45.7,100418.6,418.6,0.0041860000000000005,BUY 19 002415 @ 58.23；ret20=-13.92% 深度超卖，均值回归信号强烈，现金足额买入
2021-03-01,DrawdownBuyerAgent,002594,BUY,20,210.9,4218.0,8433.31,97143.01,-2856.99,-0.0285699,BUY 20 002594 @ 210.90；002594深跌-11.95%，ret20=-18.88%，非拥挤回撤，现金布局修复机会。
2021-03-01,RandomAgent,002594,BUY,5,210.9,1054.5,93621.01,99334.11,-665.89,-0.0066589,BUY 5 002594 @ 210.90；ret20=-18.88%最深跌幅，非拥挤深跌逆向布局
2021-03-01,TruthfulReporterAgent,000002,SELL,20,33.35,667.0,94264.3,100144.6,144.6,0.001446,SELL 20 000002 @ 33.35；反弹拥挤信号强化，锁定利润
2021-03-01,PersuaderAgent,000002,SELL,10,33.35,333.5,93753.38,99741.28,-258.72,-0.0025872000000000004,SELL 10 000002 @ 33.35；反弹拥挤信号强化，多Agent同步卖出，锁定利润降低风险
2021-03-01,FreeRiderAgent,000002,SELL,10,33.35,333.5,98021.5,100119.4,119.4,0.001194,SELL 10 000002 @ 33.35；反弹拥挤信号强化，多Agent同步卖出，锁定利润规避反转风险
2021-03-01,ContrarianAgent,601899,BUY,10,12.32,123.2,105564.02,105822.74,5822.74,0.0582274,BUY 10 601899 @ 12.32；逆向加仓独立动量，非拥挤，短期回调提供安全边际
2021-03-01,CommitteeTeamAgent,002415,SELL,10,58.23,582.3,98519.9,100386.5,386.5,0.003865,SELL 10 002415 @ 58.23；002415 ret5低迷，无修复迹象，减仓换仓至更优机会
2021-03-01,DynamicTeamAgent,000002,SELL,30,33.35,1000.5,83646.63,99766.18,-233.82,-0.0023382,SELL 30 000002 @ 33.35；反弹拥挤，多Agent同步卖出，锁定利润降低风险
2021-03-01,SocialGraphAgent,000333,BUY,10,93.33,933.3,90444.6,101004.6,1004.6,0.010046,BUY 10 000333 @ 93.33；深跌修复信号增强，多Agent共识买入，跟随信息流布局非拥挤修复机会。
