date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-03-01,MomentumAgent,002594,SELL,100,210.9,21090.0,53942.01,86650.05,-13349.95,-0.13349950000000002,SELL 100 002594 @ 210.90；追涨策略，卖出弱势股，换仓强势000002
2021-03-01,MeanReversionAgent,002594,BUY,1,210.9,210.9,67010.14,99257.43,-742.57,-0.0074257,BUY 1 002594 @ 210.90；20日跌幅-18.88%，超跌明显，均值回归机会
2021-03-01,LowVolatilityAgent,000333,BUY,1,93.33,93.33,99537.73,100631.41,631.41,0.0063141,BUY 1 000333 @ 93.33；低波动拥挤下逆向分散，与ContrarianAgent互补验证
2021-03-01,DrawdownBuyerAgent,000002,SELL,3,33.35,100.05,242.3,96493.43,-3506.57,-0.0350657,SELL 3 000002 @ 33.35；止盈部分涨幅12.18%，腾出资金加仓超跌002594
2021-03-01,RandomAgent,601899,BUY,1,12.32,12.32,83461.17,99230.16,-769.84,-0.0076984,BUY 1 601899 @ 12.32；随机买入601899，超跌随机博弈，尝试短期反弹
2021-03-01,TruthfulReporterAgent,000002,SELL,1,33.35,33.35,98864.25,100108.49,108.49,0.0010849,SELL 1 000002 @ 33.35；近期涨幅12.18%，获利了结，分散仓位风险
2021-03-01,PersuaderAgent,000858,BUY,1,289.02,289.02,97021.43,97851.42,-2148.58,-0.0214858,BUY 1 000858 @ 289.02；超跌反弹多Agent验证，加仓分散风险
2021-03-01,FreeRiderAgent,000858,BUY,1,289.02,289.02,98107.06,100169.4,169.4,0.001694,BUY 1 000858 @ 289.02；超跌反弹多Agent验证，分散集中风险
2021-03-01,ContrarianAgent,000333,BUY,1,93.33,93.33,98069.58,100338.52,338.52,0.0033851999999999997,BUY 1 000333 @ 93.33；低波动拥挤过度，逆向加仓均值回归
2021-03-01,CommitteeTeamAgent,000002,SELL,2,33.35,66.7,94043.37,100226.83,226.83,0.0022683,SELL 2 000002 @ 33.35；000002短期涨幅12.18%，获利了结并释放集中风险，换仓超跌品种
2021-03-01,DynamicTeamAgent,002594,BUY,1,210.9,210.9,94007.77,100158.29,158.29,0.0015829,BUY 1 002594 @ 210.90；超跌-18.88%，多Agent验证换仓分散风险
2021-03-01,SocialGraphAgent,000858,BUY,1,289.02,289.02,98249.25,100120.72,120.72,0.0012072,BUY 1 000858 @ 289.02；超跌反弹多Agent验证，分散集中风险
