date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-03-10,MomentumAgent,601318,BUY,2,83.28,166.56,58144.32,82818.71,-17181.29,-0.17181290000000002,BUY 2 601318 @ 83.28；相对强势，ret5仅-4%，ret20+8.81%，趋势延续
2021-03-10,MeanReversionAgent,000333,BUY,1,83.66,83.66,65792.32,96157.05,-3842.95,-0.0384295,BUY 1 000333 @ 83.66；均值回归买入超跌000333，非共识标的，分散集中风险
2021-03-10,LowVolatilityAgent,000002,BUY,1,30.69,30.69,99556.87,100552.51,552.51,0.0055251,BUY 1 000002 @ 30.69；近期ret20为正(9.92%)，相对抗跌，低波动分散
2021-03-10,DrawdownBuyerAgent,002594,BUY,1,177.19,177.19,311.16,86091.79,-13908.21,-0.1390821,BUY 1 002594 @ 177.19；超跌-32.63%，多Agent共识持续，分散集中风险
2021-03-10,RandomAgent,601899,BUY,1,10.49,10.49,82998.18,97602.24,-2397.76,-0.0239776,BUY 1 601899 @ 10.49；随机逆向，超跌试验，无共识关注
2021-03-10,TruthfulReporterAgent,600036,SELL,1,48.5,48.5,98563.69,100005.94,5.94,5.940000000000001e-05,SELL 1 600036 @ 48.50；跟随多Agent减仓银行共识，控制集中度风险
2021-03-10,PersuaderAgent,002594,BUY,1,170.68,170.68,95995.19,97711.28,-2288.72,-0.022887199999999996,BUY 1 002594 @ 170.68；超跌共识持续验证，多Agent加仓，分散集中风险
2021-03-10,FreeRiderAgent,600036,SELL,2,48.5,97.0,97974.65,100005.48,5.48,5.4800000000000004e-05,SELL 2 600036 @ 48.50；降低银行集中度，跟随多Agent减仓共识
2021-03-10,ContrarianAgent,600036,BUY,1,49.25,49.25,97960.55,100148.49,148.49,0.0014849000000000002,BUY 1 600036 @ 49.25；多数Agent卖出600036形成拥挤，逆向买入等待均值回归
2021-03-10,CommitteeTeamAgent,002594,BUY,1,177.19,177.19,93970.0,99903.99,-96.01,-0.0009601000000000001,BUY 1 002594 @ 177.19；多Agent超跌共识持续验证，分散集中风险
2021-03-10,DynamicTeamAgent,600036,SELL,3,48.5,145.5,93782.8,99672.8,-327.2,-0.0032719999999999997,SELL 3 600036 @ 48.50；跟随降银行集中度共识，控制回撤
2021-03-10,SocialGraphAgent,002594,BUY,1,177.19,177.19,97777.12,99960.96,-39.04,-0.0003904,BUY 1 002594 @ 177.19；多Agent超跌共识持续验证，加仓分散集中风险
