date,agent,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail
2021-02-25,MomentumAgent,000002,BUY,50,32.99,1649.5,1344.2,85921.7,-14078.3,-0.140783,BUY 50 000002 @ 32.99；近5日涨幅9.93%最强，趋势延续追涨
2021-02-25,MeanReversionAgent,002594,BUY,10,209.25,2092.5,37594.8,97881.3,-2118.7,-0.021186999999999998,BUY 10 002594 @ 209.25；近5日跌幅最大，均值回归预期强，未拥挤
2021-02-25,LowVolatilityAgent,000333,SELL,5,93.94,469.7,95613.3,99424.8,-575.2,-0.005752,SELL 5 000333 @ 93.94；超跌共识拥挤风险上升，减仓避险
2021-02-25,DrawdownBuyerAgent,002415,BUY,10,56.98,569.8,708.1,97695.09,-2304.91,-0.0230491,BUY 10 002415 @ 56.98；002415近5日跌幅-7.06%，20日跌幅-9.84%，深度回撤且未形成拥挤，均值回归预期强。
2021-02-25,RandomAgent,000333,BUY,5,93.94,469.7,73289.3,100019.6,19.6,0.00019600000000000002,BUY 5 000333 @ 93.94；超跌共识过度，非共识逆向买入博弈反弹
2021-02-25,TruthfulReporterAgent,002415,BUY,10,56.98,569.8,91902.2,100585.6,585.6,0.005856,BUY 10 002415 @ 56.98；超跌未出现共识拥挤，分散均值回归博弈
2021-02-25,PersuaderAgent,002594,BUY,10,209.25,2092.5,75108.64,99298.14,-701.86,-0.0070186,BUY 10 002594 @ 209.25；002594近5日跌幅-19.21%为当前最大，且未出现共识拥挤，加仓博弈均值回归。
2021-02-25,FreeRiderAgent,300750,SELL,5,337.1,1685.5,97009.8,100127.2,127.2,0.0012720000000000001,SELL 5 300750 @ 337.10；超跌共识拥挤风险上升，减仓300750避险
2021-02-25,ContrarianAgent,000333,BUY,10,93.94,939.4,90594.6,109319.9,9319.9,0.09319899999999999,BUY 10 000333 @ 93.94；超跌共识拥挤过度，逆向买入博弈分歧
2021-02-25,CommitteeTeamAgent,000333,SELL,2,95.02,190.04,100120.97,100177.95,177.95,0.0017794999999999998,SELL 2 000333 @ 95.02；超跌共识拥挤持续，清仓避险
2021-02-25,DynamicTeamAgent,000333,SELL,10,93.94,939.4,100695.66,100695.66,695.66,0.006956599999999999,SELL 10 000333 @ 93.94；超跌共识拥挤加剧，减仓避险
